epoch,train_loss,val_loss,rouge1,rouge2,rougeL,epoch_time_sec,total_time_sec
1,8.28765885320942,6.777662241712529,0.13057839145666497,0.007056092010656639,0.09948118647342695,125.43100468895864,
2,6.352990842669198,6.067416591847197,0.1393951253795478,0.010566027544052344,0.09959505047556388,122.59854730393272,
3,5.839982250299347,5.821042659434866,0.15284641545150543,0.01605857273771242,0.10945567365413918,125.47509792202618,
4,5.556625913770011,5.697892041916543,0.15508865978117992,0.020067567633903886,0.11146160448740561,122.3155038699042,
5,5.3652871731961715,5.624187357882236,0.16820615539152778,0.01984330241462168,0.11715641794528149,121.26542495202739,
6,5.206136368097884,5.579181402287585,0.16929217410819938,0.017808780713396644,0.11710898819747631,121.069109441014,
7,5.059390323081713,5.552916156484725,0.17772330047095,0.021405249962871957,0.12209025181513745,123.63106833701022,
8,4.9342875962846735,5.5390920486856015,0.17901581081976636,0.021932869896545647,0.12740916492477122,122.76936645805836,
9,4.834922205464224,5.537444804577118,0.1958289624810454,0.02379789408021365,0.13166769960847408,123.6009801219916,
10,4.730678006504359,5.544226113786089,0.19825652794952756,0.027548229885837272,0.1335325069143378,121.76761750597507,
11,4.634618455908272,5.549916612341049,0.20101584548026294,0.026863362194630175,0.13350017695626007,123.71566884906497,
12,4.548776978053404,5.561210059105082,0.2043441144902346,0.028195102268207053,0.13741915809875943,123.72379522002302,
TOTAL,,,,,,,1595.5410999580054
